"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
10/17/2018,15:00,8.12,8.16,7.73,7.77,11705259,0,11705259.00
10/18/2018,15:00,7.60,7.67,7.26,7.50,11905956,0,11905956.00
10/19/2018,15:00,7.59,7.75,7.22,7.32,7336209,0,7336209.00
10/22/2018,15:00,7.68,7.69,7.00,7.03,12758537,0,12758537.00
10/23/2018,15:00,6.74,6.89,6.45,6.81,14901741,0,14901741.00
10/24/2018,15:00,6.85,6.85,6.13,6.17,14789857,0,14789857.00
10/25/2018,15:00,6.27,6.57,6.25,6.45,9188691,0,9188691.00
10/26/2018,15:00,6.21,6.51,6.18,6.35,9458953,0,9458953.00
10/29/2018,15:00,6.53,6.79,6.05,6.19,16027640,0,16027640.00
10/30/2018,15:00,6.20,6.22,5.62,5.95,21823905,0,21823905.00
10/31/2018,15:00,6.08,6.25,5.90,5.90,15213393,0,15213393.00
11/01/2018,15:00,6.00,6.78,5.96,6.62,24330932,0,24330932.00
11/02/2018,15:00,6.84,6.84,6.27,6.49,17988834,0,17988834.00
11/05/2018,15:00,6.52,6.72,6.25,6.68,13188661,0,13188661.00
11/06/2018,15:00,7.22,7.32,6.40,6.40,49855770,0,49855770.00
11/07/2018,15:00,6.42,6.88,6.15,6.74,23761772,0,23761772.00
11/08/2018,15:00,6.49,7.10,6.47,6.69,20510714,0,20510714.00
11/09/2018,15:00,6.59,6.93,6.52,6.77,12789789,0,12789789.00
11/12/2018,15:00,6.72,6.93,6.56,6.65,12709127,0,12709127.00
11/13/2018,15:00,6.69,6.90,6.58,6.78,15374076,0,15374076.00
11/14/2018,15:00,6.80,7.45,6.80,7.10,29585149,0,29585149.00
11/15/2018,15:00,7.15,7.49,7.11,7.34,18036362,0,18036362.00
11/16/2018,15:00,7.40,7.65,7.16,7.19,14972458,0,14972458.00
11/19/2018,15:00,7.38,8.21,7.28,7.84,49171758,0,49171758.00
11/20/2018,15:00,7.65,7.91,7.15,7.67,26923192,0,26923192.00
11/21/2018,15:00,7.90,8.05,7.63,7.71,13993640,0,13993640.00
11/23/2018,15:00,7.68,7.70,7.41,7.46,8119651,0,8119651.00
11/26/2018,15:00,7.61,7.63,7.16,7.37,12164902,0,12164902.00
11/27/2018,15:00,7.30,7.70,7.23,7.48,9084856,0,9084856.00
11/28/2018,15:00,7.60,8.15,7.60,8.12,22096929,0,22096929.00
11/29/2018,15:00,8.06,8.12,7.76,7.79,13207636,0,13207636.00
11/30/2018,15:00,7.80,8.00,7.68,7.71,10994730,0,10994730.00
12/03/2018,15:00,8.10,8.13,7.50,7.58,22336440,0,22336440.00
12/04/2018,15:00,7.60,7.64,7.05,7.08,19624735,0,19624735.00
12/06/2018,15:00,6.86,7.37,6.72,7.37,16688145,0,16688145.00
12/07/2018,15:00,7.36,7.38,6.96,6.99,11576166,0,11576166.00
12/10/2018,15:00,7.03,7.12,6.74,7.03,9980958,0,9980958.00
12/11/2018,15:00,7.08,7.20,6.92,7.08,8095733,0,8095733.00
12/12/2018,15:00,7.20,7.55,7.12,7.54,16007523,0,16007523.00
12/13/2018,15:00,7.55,7.90,7.26,7.75,14980941,0,14980941.00
12/14/2018,15:00,7.53,7.89,7.40,7.70,10773624,0,10773624.00
12/17/2018,15:00,7.63,7.64,6.96,7.03,18132776,0,18132776.00
12/18/2018,15:00,7.03,7.19,6.84,7.07,10685752,0,10685752.00
12/19/2018,15:00,7.03,7.15,6.80,6.83,9299725,0,9299725.00
12/20/2018,15:00,6.82,6.92,6.33,6.52,12080014,0,12080014.00
12/21/2018,15:00,6.59,6.65,6.06,6.07,13598339,0,13598339.00
12/24/2018,15:00,6.00,6.12,5.84,5.92,8835827,0,8835827.00
12/26/2018,15:00,6.11,6.37,5.96,6.36,9912348,0,9912348.00
12/27/2018,15:00,6.17,6.45,6.03,6.43,8531875,0,8531875.00
12/28/2018,15:00,6.50,6.56,6.30,6.47,7996498,0,7996498.00
12/31/2018,15:00,6.56,6.57,6.21,6.37,8827482,0,8827482.00
01/02/2019,15:00,6.13,6.24,6.00,6.20,8823588,0,8823588.00
01/03/2019,15:00,6.10,6.15,6.02,6.05,7562892,0,7562892.00
